x_pos,y_pos,so_band_num,group_num
Wafers:11 to max
-1,-4,0,1
-1,-3,1,1
-1,-2,2,1
-1,-1,3,1
-1,0,4,1
-1,1,5,1
-1,2,6,1
0,1,7,1
0,2,8,1
0,3,9,1
0,4,10,1
0,5,11,1
0,6,12,1
0,7,13,1
0,-7,13,2
0,-6,12,2
0,-5,11,2
0,-4,10,2
0,-3,9,2
0,-2,8,2
0,-1,7,2
1,-2,6,2
1,-1,5,2
1,0,4,2
1,1,3,2
1,2,2,2
1,3,1,2
1,4,0,2
-1,3,0,3
-1,4,2,3
1,-4,13,3
1,-3,11,3
Wafers:1 to 10
-1,-4,1,2
-1,-3,0,2
-1,-2,6,1
-1,-1,5,1
-1,0,4,1
-1,1,3,1
-1,2,2,1
-1,3,1,1
-1,4,0,1
0,-7,2,2
0,-6,3,2
0,-5,4,2
0,-4,5,2
0,-3,6,2
0,-2,7,2
0,-1,8,2
0,1,9,1
0,2,10,1
0,3,11,1
0,4,12,1
0,5,13,1
0,6,7,1
0,7,8,1
1,-4,3,3
1,-3,2,3
1,-2,1,3
1,-1,0,3
1,0,13,2
1,1,12,2
1,2,11,2
1,3,10,2
1,4,9,2
